Names,Ratings,Bought,Price
"Amazon Basics 128 GB Ultra Fast USB 3.1 Flash Drive, Black",4.6 out of 5 stars,10K+ bought in past month,$14.80
32GB USB Flash Drives 2 Pack USB 2.0 Thumb Drive Pen Drive Swivel Memory Sticks (2 Colors: Black Blue),4.6 out of 5 stars,100+ bought in past month,$8.99
"128GB x900w USB 3.0 Flash Drive,Black",4.6 out of 5 stars,1K+ bought in past month,$18.99
"SanDisk 128GB Ultra USB 3.0 Flash Drive - SDCZ48-128G-GAM46, Black",4.7 out of 5 stars,10K+ bought in past month,$12.99
"6 Pack 16GB USB 2.0 Flash Drive Memory Stick Thumb Drive Thumb Stick Jump Drive Zip Drive Pen Drive, with LED Indicator,6 Pcs Mix Colors:Rose/Red/Gold/Black/Green/Blue",4.5 out of 5 stars,List:,$19.99
"SanDisk 128GB Ultra Flair USB 3.0 Flash Drive - SDCZ73-128G-G46, black",4.5 out of 5 stars,More Buying Choices,$13.59
"Hoteam 50 Pcs USB 2.0 Flash Drives Bulk, Portable USB Thumb Drive with 50 Black Lanyard, USB Protective Cover Flash Drives for Office School Data Storage, Black (4 GB)",4.5 out of 5 stars,100+ bought in past month,$2.27
"Type-C™ USB Flash Drive, 256GB, Transfers 4GB Files in 11 Secs w/Up to 400MB/s 3.13 Read Speeds, Compatible w/USB 3.0/2.0, Waterproof, 2022, Blue, MUF-256DA/AM",4.6 out of 5 stars,($2.27$2.27/Count),$16.99
"SanDisk 512GB Ultra Fit USB 3.2 Gen 1 Flash Drive - Up to 400MB/s, Plug-and-Stay Design - SDCZ430-512G-GAM46, Black",4.6 out of 5 stars,Typical:,$49.79
"RAOYI 5 Pack 64GB USB 3.0 Flash Drive, High Speed Memory Stick Thumb Drives Jump Drive Pen Drive for PC Laptop Desktop- 64G Multipack",4.7 out of 5 stars,| Based on number of views and purchases,$9.96
"RAOYI 5 Pack 64GB USB Flash Drive, USB 2.0 Memory Stick Thumb Drives Jump Drive Pen Drive for PC Laptop Computer - 64G Multipack",4.6 out of 5 stars,($9.96$9.96/Count),$8.99
50 Pack 128 MB USB 2.0 Flash Drives Bulk with Lanyards USB Thumb Drive Swivel Bulk with LED Light Swivel Pen Drive Jump Drive for Office School Data Storage Backup (128 MB),4.6 out of 5 stars,List:,$11.50
Vansuny Dual USB C Flash Drive 128GB USB 3.0 2-in-1 Type C + USB A Thumb Drive UDP-Tech Waterproof Metal Pen Drive Portable OTG Flash Drive,4.5 out of 5 stars,50+ bought in past month,$22.07
USB Flash Drive 256GB Waterproof USB Stick High Speed Memory Stick 256GB Ultra Large Storage Metal Thumb Drive with Keychain Design for Laptop Computer Tablet,4.4 out of 5 stars,($4.41$4.41/Count),$4.41
"Amazon Basics 128 GB Ultra Fast USB 3.1 Flash Drive, Black",4.3 out of 5 stars,1K+ bought in past month,$12.99
2 Pack 64GB USB 2.0 Flash Drive Memory Stick Thumb Drives Swivel Design(2 X 64GB: Black Silver),4.6 out of 5 stars,More Buying Choices,$72.99
"SanDisk 16GB Cruzer Blade USB 2.0 Flash Drive - ‎SDCZ50-016G-B35, Black",4.4 out of 5 stars,10K+ bought in past month,$24.99
"Hoteam 50 Pack 128MB USB 2.0 Flash Drives Bulk with Lanyards Thumb Drive Lid Design USB Stick with LED Indicator Memory Pen Drive Stick Pendrives for Data Storage Backup, 10 Colors",4.6 out of 5 stars,More Buying Choices,$42.99
"SanDisk 1TB Extreme PRO USB 3.2 Solid State Flash Drive - Up to 420MB/s, Durable Aluminum Metal Casting - SDCZ880-1T00-GAM46",4.7 out of 5 stars,1K+ bought in past month,$49.99
"1TB USB Flash Drive for Phone, Dual USB3.1 to USB C Memory Stick 1000GB, WOFICLO High-Speed Transfer Type-c Thumb Drive for iPad Pro, Mac pro, Samsung Galaxy, PC.Black",4.7 out of 5 stars,List:,$24.99
"Cute USB Flash Drive with Keychain 64GB, Drinking Cup Style Mini Thumb Drive Memory Stick Cartoon Pen Drive Zip Drive Waterproof U Disk",4.6 out of 5 stars,More Buying Choices,$22.99
